Brand,Category,Notes,Country,Wiki,Image
Priya Gold, food oil,"Biscuits, Food Oil",India,"Priya Gold is the ace brand of the Surya Food and Agro Ltd., which began its commercial activity in the year 1993. The company is one of the leading producers of biscuits in Northern India.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594068170/Vocal4Local/PriyaGold/gfggvnp91d8ijirnztb5.png
Air Odisha,Airlines,Charter airline,India,"Air Odisha was an Indian regional airline based in Bhubaneswar, Odisha.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593900816/Vocal4Local/AirOdisha/htzoa1yjjazxvggwvoz3.jpg
Air India,Airlines,Airline,India,"Air India is the flag carrier airline of India, headquartered at New Delhi.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593900819/Vocal4Local/AirIndia/sjtw0vmd88qbparewnz3.png
Air India Express,Airlines,"Low-cost airline, part of Air India",India,"Air India Express is an Indian low-cost airline headquartered in Kochi, Kerala.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593900821/Vocal4Local/AirIndiaExpress/sn7pqirkurb2axf2sidu.png
Deccan Charters,Airlines,Charter airline,India,"Deccan Charters is an aviation company based in Bengaluru, India that operates helicopter and fixed-wing charter services.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593900942/Vocal4Local/DeccanCharters/g3pgo5xgtrz9pyuqwsxz.png
Goair Airlines,Airlines,Low-cost airline,India,"GoAir is an Indian low-cost airline based in Mumbai, Maharashtra. It is owned by the Indian business conglomerate Wadia Group.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593901018/Vocal4Local/GoairAirlines/ytbseyft65pjvjjtnxq8.png
Indigo,Airlines,Low-cost airline,India,"IndiGo is an Indian low-cost airline headquartered in Gurgaon, Haryana. It is the largest airline in India by passengers carried and fleet size, with a 47.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593901311/Vocal4Local/Indigo/ipt42qqlqnonnovuukvq.png
Pawan Hans,Airlines,Helicopter services,India,"Pawan Hans Limited is a helicopter service company based in New Delhi, India. Pawan Hans is a Mini Ratna-I category PSU.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593901455/Vocal4Local/PawanHans/ny3gaxmavxwumokjhd9n.jpg
Spicejet,Airlines,Low-cost airline,India,"SpiceJet is an Indian low-cost airline headquartered in Gurgaon, Haryana.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593901549/Vocal4Local/Spicejet/hnizumsbdpms9t0rsb8h.png
Jbl,Audio Equipment,"Headphones, Speakers, Earphones",Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902909/Vocal4Local/Jbl/n73tewaqyihxjwu87qeg.png
Ubon,Audio Equipment,"Headphones, Speakers, Earphones",China,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902911/Vocal4Local/Ubon/icawbovz5wmmomwtfphc.jpg
Boat,Audio Equipment,"Headphones, Speakers, Earphones",India,"BoAt is an Indian based consumer electronics brand established in 2015 that markets earphones, headphones stereos, travel chargers and premium ruggedÂ .",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903006/Vocal4Local/Boat/kmn4anfvdsqpni6wkqgt.png
Zebronics,Audio Equipment,"Headphones, Speakers, Earphones",India,"Founded in 1997, Zebronics is a IT & Gaming Peripherals, Sound systems, Mobile & Lifestyle Accessories & Surveillance Solutions brand with a mission toÂ .",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903171/Vocal4Local/Zebronics/qvrqem3ud5lgrkdffmro.jpg
Sennheiser,Audo Equipment,"Headphones, Speakers, Earphones",Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594672588/Vocal4Local/Sennheiser/id0wwgqo0cgvskzmttz7.png
